"","sp","group","new_gp"
"1","Quercus stellata","A","angio"
"2","Liquidambar styraciflua","A","angio"
"3","Nyssa sylvatica","A","angio"
"4","Fagus grandifolia","A","angio"
"5","Quercus falcata","A","angio"
"6","Quercus nigra","A","angio"
"7","Ilex opaca","C","angio"
"8","Quercus laurifolia","A","angio"
"9","Magnolia virginiana","A","angio"
"10","Acer rubrum","A","angio"
"11","Quercus alba","A","angio"
"12","Oxydendrum arboreum","A","angio"
"13","Diospyros virginiana","A","angio"
"14","Ulmus americana","A","angio"
"15","Tilia americana","A","angio"
"16","Carpinus caroliniana","A","angio"
"17","Cornus florida","A","angio"
"18","Liriodendron tulipifera","A","angio"
"19","Carya alba","A","angio"
"20","Quercus lyrata","A","angio"
"21","Betula nigra","A","angio"
"22","Nyssa aquatica","A","angio"
"23","Fraxinus pennsylvanica","A","angio"
"24","Prunus serotina","A","angio"
"25","Ostrya virginiana","A","angio"
"26","Ulmus alata","A","angio"
"27","Quercus phellos","A","angio"
"28","Celtis laevigata","A","angio"
"29","Gleditsia triacanthos","A","angio"
"30","Quercus velutina","A","angio"
"31","Quercus michauxii","A","angio"
"32","Carya glabra","A","angio"
"33","Juglans nigra","A","angio"
"34","Platanus occidentalis","A","angio"
"35","Ulmus rubra","A","angio"
"36","Robinia pseudoacacia","A","angio"
"37","Quercus virginiana","C","angio"
"38","Quercus robur","A","angio"
"39","Carpinus betulus","A","angio"
"40","Populus deltoides","A","angio"
"41","Acer negundo","A","angio"
"42","Quercus marilandica","A","angio"
"43","Triadica sebifera","C","angio"
"44","Salix nigra","A","angio"
"45","Sassafras albidum","A","angio"
"46","Morus rubra","A","angio"
"47","Celtis occidentalis","A","angio"
"48","Quercus petraea","A","angio"
"49","Fagus sylvatica","A","angio"
"50","Carya ovata","A","angio"
"51","Fraxinus americana","A","angio"
"52","Quercus pagoda","A","angio"
"53","Quercus muehlenbergii","A","angio"
"54","Carya cordiformis","A","angio"
"55","Quercus coccinea","A","angio"
"56","Maclura pomifera","A","angio"
"57","Quercus rubra","A","angio"
"58","Tilia cordata","A","angio"
"59","Acer saccharinum","A","angio"
"60","Carya texana","A","angio"
"61","Acer saccharum","A","angio"
"62","Fraxinus excelsior","A","angio"
"63","Prunus avium","A","angio"
"64","Populus tremula","A","angio"
"65","Castanea sativa","A","angio"
"66","Acer campestre","A","angio"
"67","Acer pseudoplatanus","A","angio"
"68","Betula lenta","A","angio"
"69","Betula pendula","A","angio"
"70","Sorbus aria","A","angio"
"71","Corylus avellana","A","angio"
"72","Populus grandidentata","A","angio"
"73","Quercus pubescens","A","angio"
"74","Crataegus monogyna","A","angio"
"75","Quercus ilex","C","angio"
"76","Sorbus aucuparia","A","angio"
"77","Sorbus torminalis","A","angio"
"78","Quercus suber","C","angio"
"79","Quercus pyrenaica","A","angio"
"80","Salix caprea","A","angio"
"81","Quercus faginea","A","angio"
"82","Eucalyptus camaldulensis","C","angio"
"83","Tilia platyphyllos","A","angio"
"84","Acer opalus","A","angio"
"85","Alnus glutinosa","A","angio"
"86","Ilex aquifolium","C","angio"
"87","Ulmus minor","A","angio"
"88","Arbutus unedo","C","angio"
"89","Fraxinus angustifolia","A","angio"
"90","Populus nigra","A","angio"
"91","Olea europaea","C","angio"
"92","Betula pubescens","A","angio"
"93","Eucalyptus globulus","C","angio"
"94","Populus tremuloides","A","angio"
"95","Betula papyrifera","A","angio"
"96","Populus balsamifera","A","angio"
"97","Betula alleghaniensis","A","angio"
"98","Erica arborea","C","angio"
"99","Myrica faya","C","angio"
"100","Prunus pensylvanica","A","angio"
"101","Fraxinus nigra","A","angio"
"102","Quercus macrocarpa","A","angio"
"103","Gordonia lasianthus","C","angio"
"104","Sabal palmetto","C","angio"
"105","Alnus rubra","A","angio"
"106","Arbutus menziesii","C","angio"
"107","Quercus ellipsoidalis","A","angio"
"108","Quercus kelloggii","A","angio"
"109","Quercus chrysolepis","C","angio"
"110","Notholithocarpus densiflorus","C","angio"
"111","Pinus taeda","D","gymno"
"112","Pinus echinata","D","gymno"
"113","Pinus elliottii","D","gymno"
"114","Juniperus virginiana","D","gymno"
"115","Pinus palustris","D","gymno"
"116","Taxodium distichum","B","gymno"
"117","Pinus clausa","D","gymno"
"118","Pinus virginiana","D","gymno"
"119","Abies alba","D","gymno"
"120","Picea abies","D","gymno"
"121","Pseudotsuga menziesii","D","gymno"
"122","Tsuga canadensis","D","gymno"
"123","Larix decidua","B","gymno"
"124","Pinus nigra","D","gymno"
"125","Pinus pinaster","D","gymno"
"126","Pinus sylvestris","D","gymno"
"127","Pinus halepensis","D","gymno"
"128","Pinus uncinata","D","gymno"
"129","Pinus radiata","D","gymno"
"130","Pinus pinea","D","gymno"
"131","Picea sitchensis","D","gymno"
"132","Abies grandis","D","gymno"
"133","Thuja plicata","D","gymno"
"134","Pinus strobus","D","gymno"
"135","Larix kaempferi","B","gymno"
"136","Picea mariana","D","gymno"
"137","Picea glauca","D","gymno"
"138","Abies balsamea","D","gymno"
"139","Pinus banksiana","D","gymno"
"140","Picea rubens","D","gymno"
"141","Thuja occidentalis","D","gymno"
"142","Larix laricina","B","gymno"
"143","Pinus contorta","D","gymno"
"144","Juniperus thurifera","D","gymno"
"145","Pinus canariensis","D","gymno"
"146","Abies lasiocarpa","D","gymno"
"147","Tsuga heterophylla","D","gymno"
"148","Picea engelmannii","D","gymno"
"149","Abies concolor","D","gymno"
"150","Pinus serotina","D","gymno"
"151","Pinus resinosa","D","gymno"
"152","Tsuga mertensiana","D","gymno"
"153","Pinus rigida","D","gymno"
"154","Abies amabilis","D","gymno"
"155","Pinus albicaulis","D","gymno"
"156","Pinus ponderosa","D","gymno"
"157","Larix occidentalis","B","gymno"
"158","Juniperus occidentalis","D","gymno"
"159","Pinus jeffreyi","D","gymno"
"160","Calocedrus decurrens","D","gymno"
"161","Abies magnifica","D","gymno"
